YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1984;5.63;5.86;4.69;4.74;4.23;4.78;4.92;6.19;6.84;6.9;6.82;6.68
1985;5.31;3.97;4.25;4.07;4.26;4.89;5.16;6.2;6.62;7.25;6.91;5.52
1986;6.18;4.92;4.37;4.09;4.8;4.74;5.66;6.22;6.61;6.9;6.24;6.16
1987;5.66;5.82;4.23;5.12;5.84;5.23;5.73;6.29;6.5;6.99;6.88;6.71
1988;5.72;5.55;5.22;4.11;4.19;5.16;5.6;6.45;6.81;6.97;6.48;5.8
1989;5.7;6.25;5.18;3.59;4.0;4.83;5.23;6.11;6.97;7.02;6.83;5.3
1990;6.47;5.12;6.15;5.74;5.91;5.28;5.47;6.29;6.64;6.92;6.65;6.53
1991;6.02;5.51;4.48;5.38;4.89;5.24;5.67;5.76;6.01;6.17;6.3;6.59
1992;5.67;4.85;4.79;5.35;5.64;5.24;5.93;6.11;6.75;6.81;6.77;6.76
1993;5.73;6.4;6.12;5.74;5.82;5.73;5.91;6.36;6.89;7.06;6.96;6.61
1994;6.05;5.18;4.93;4.32;4.75;4.65;5.11;6.45;6.86;6.96;6.52;6.07
1995;5.73;5.4;5.4;3.75;4.75;5.36;5.48;6.61;7.08;6.98;6.62;6.91
1996;5.75;6.4;4.91;4.43;5.52;5.65;5.92;6.29;6.88;6.99;6.67;6.87
1997;6.53;6.82;6.17;5.07;5.26;5.97;6.15;6.45;7.14;7.23;7.03;6.81
1998;5.5;6.55;5.85;6.04;5.73;5.64;5.85;6.56;7.08;7.33;6.82;6.79
1999;6.4;5.57;5.45;4.61;4.86;5.66;5.97;6.73;7.12;7.23;6.9;5.82
2000;6.23;5.87;5.87;4.89;5.31;5.27;5.36;6.1;6.54;7.2;7.05;6.52
2001;5.82;5.9;5.42;4.13;5.68;5.16;5.74;6.49;6.57;6.54;6.38;6.2
2002;5.12;5.89;5.34;4.77;5.18;4.87;5.54;6.2;6.63;6.54;6.64;6.21
