Mês;Irrade
Jan;5,63
Fev;5,86
Mar;4,69
Abr;4,74
Mai;4,23
Jun;4,78
Jul;4,92
Ago;6,19
Set;6,84
Out;6,9
Nov;6,82
Dez;6,68
Jan;5,31
Fev;3,97
Mar;4,25
Abr;4,07
Mai;4,26
Jun;4,89
Jul;5,16
Ago;6,2
Set;6,62
Out;7,25
Nov;6,91
Dez;5,52
Jan;6,18
Fev;4,92
Mar;4,37
Abr;4,09
Mai;4,8
Jun;4,74
Jul;5,66
Ago;6,22
Set;6,61
Out;6,9
Nov;6,24
Dez;6,16
Jan;5,66
Fev;5,82
Mar;4,23
Abr;5,12
Mai;5,84
Jun;5,23
Jul;5,73
Ago;6,29
Set;6,5
Out;6,99
Nov;6,88
Dez;6,71
Jan;5,72
Fev;5,55
Mar;5,22
Abr;4,11
Mai;4,19
Jun;5,16
Jul;5,6
Ago;6,45
Set;6,81
Out;6,97
Nov;6,48
Dez;5,8
Jan;5,7
Fev;6,25
Mar;5,18
Abr;3,59
Mai;4
Jun;4,83
Jul;5,23
Ago;6,11
Set;6,97
Out;7,02
Nov;6,83
Dez;5,3
Jan;6,47
Fev;5,12
Mar;6,15
Abr;5,74
Mai;5,91
Jun;5,28
Jul;5,47
Ago;6,29
Set;6,64
Out;6,92
Nov;6,65
Dez;6,53
Jan;6,02
Fev;5,51
Mar;4,48
Abr;5,38
Mai;4,89
Jun;5,24
Jul;5,67
Ago;5,76
Set;6,01
Out;6,17
Nov;6,3
Dez;6,59
Jan;5,67
Fev;4,85
Mar;4,79
Abr;5,35
Mai;5,64
Jun;5,24
Jul;5,93
Ago;6,11
Set;6,75
Out;6,81
Nov;6,77
Dez;6,76
Jan;5,73
Fev;6,4
Mar;6,12
Abr;5,74
Mai;5,82
Jun;5,73
Jul;5,91
Ago;6,36
Set;6,89
Out;7,06
Nov;6,96
Dez;6,61
Jan;6,05
Fev;5,18
Mar;4,93
Abr;4,32
Mai;4,75
Jun;4,65
Jul;5,11
Ago;6,45
Set;6,86
Out;6,96
Nov;6,52
Dez;6,07
Jan;5,73
Fev;5,4
Mar;5,4
Abr;3,75
Mai;4,75
Jun;5,36
Jul;5,48
Ago;6,61
Set;7,08
Out;6,98
Nov;6,62
Dez;6,91
Jan;5,75
Fev;6,4
Mar;4,91
Abr;4,43
Mai;5,52
Jun;5,65
Jul;5,92
Ago;6,29
Set;6,88
Out;6,99
Nov;6,67
Dez;6,87
Jan;6,53
Fev;6,82
Mar;6,17
Abr;5,07
Mai;5,26
Jun;5,97
Jul;6,15
Ago;6,45
Set;7,14
Out;7,23
Nov;7,03
Dez;6,81
Jan;5,5
Fev;6,55
Mar;5,85
Abr;6,04
Mai;5,73
Jun;5,64
Jul;5,85
Ago;6,56
Set;7,08
Out;7,33
Nov;6,82
Dez;6,79
Jan;6,4
Fev;5,57
Mar;5,45
Abr;4,61
Mai;4,86
Jun;5,66
Jul;5,97
Ago;6,73
Set;7,12
Out;7,23
Nov;6,9
Dez;5,82
Jan;6,23
Fev;5,87
Mar;5,87
Abr;4,89
Mai;5,31
Jun;5,27
Jul;5,36
Ago;6,1
Set;6,54
Out;7,2
Nov;7,05
Dez;6,52
Jan;5,82
Fev;5,9
Mar;5,42
Abr;4,13
Mai;5,68
Jun;5,16
Jul;5,74
Ago;6,49
Set;6,57
Out;6,54
Nov;6,38
Dez;6,2
Jan;5,12
Fev;5,89
Mar;5,34
Abr;4,77
Mai;5,18
Jun;4,87
Jul;5,54
Ago;6,2
Set;6,63
Out;6,54
Nov;6,64
Dez;6,21
Jan;5,68
Fev;4,48
Mar;4,51
Abr;4,48
Mai;4,99
Jun;5,19
Jul;5,73
Ago;6,25
Set;6,76
Out;6,65
Nov;6,56
Dez;6,43
Jan;4,73
Fev;5,15
Mar;5,37
Abr;5,38
Mai;5,54
Jun;4,77
Jul;5,22
Ago;6,06
Set;6,73
Out;6,71
Nov;6,66
Dez;6,4
Jan;5,93
Fev;5,81
Mar;5,47
Abr;5,21
Mai;4,94
Jun;4,94
Jul;5,7
Ago;6,29
Set;6,63
Out;6,69
Nov;6,57
Dez;6,22
Jan;6,21
Fev;5,83
Mar;5,57
Abr;4,58
Mai;4,91
Jun;4,73
Jul;5,61
Ago;6,17
Set;6,52
Out;6,71
Nov;6,42
Dez;6,08
Jan;6,03
Fev;4,93
Mar;4,95
Abr;4,99
Mai;5,42
Jun;5,47
Jul;5,76
Ago;6,24
Set;6,6
Out;6,68
Nov;6,63
Dez;6,04
Jan;5,52
Fev;6,17
Mar;4,93
Abr;4,39
Mai;4,79
Jun;4,88
Jul;5,37
Ago;6,13
Set;6,68
Out;6,67
Nov;6,43
Dez;6,29
Jan;5,78
Fev;5,25
Mar;4,34
Abr;4,22
Mai;4,07
Jun;4,72
Jul;5,34
Ago;5,94
Set;6,48
Out;6,68
Nov;6,51
Dez;5,73
Jan;5,9
