Ano;Mês;Irradiação
2019;Jan;6.8
2019;Jan;6.74
2019;Jan;6.58
2019;Jan;6.6
2019;Jan;6.32
2019;Jan;4.9
2019;Jan;4.87
2019;Jan;3.28
2019;Jan;4.92
2019;Jan;4.24
2019;Jan;6.52
2019;Jan;4.7
2019;Jan;5.51
2019;Jan;4.96
2019;Jan;3.04
2019;Jan;6.65
2019;Jan;6.2
2019;Jan;3.33
2019;Jan;2.39
2019;Jan;6.18
2019;Jan;5.86
2019;Jan;7.18
2019;Jan;6.9
2019;Jan;5.86
2019;Jan;6.23
2019;Jan;4.24
2019;Jan;5.58
2019;Jan;6.99
2019;Jan;6.56
2019;Jan;6.95
2019;Jan;4.72
2019;Fev;2.24
2019;Fev;3.77
2019;Fev;4.78
2019;Fev;6.12
2019;Fev;6.75
2019;Fev;4.84
2019;Fev;2.2
2019;Fev;5.65
2019;Fev;6.38
2019;Fev;7.12
2019;Fev;6.96
2019;Fev;5.88
2019;Fev;4.91
2019;Fev;4.86
2019;Fev;6.0
2019;Fev;3.49
2019;Fev;5.4
2019;Fev;5.56
2019;Fev;5.68
2019;Fev;5.53
2019;Fev;2.66
2019;Fev;2.42
2019;Fev;4.46
2019;Fev;3.56
2019;Fev;5.33
2019;Fev;5.13
2019;Fev;3.89
2019;Fev;4.05
2019;Mar;5.95
2019;Mar;4.02
2019;Mar;5.02
2019;Mar;5.4
2019;Mar;4.85
2019;Mar;2.08
2019;Mar;1.48
2019;Mar;4.91
2019;Mar;3.67
2019;Mar;6.05
2019;Mar;6.39
2019;Mar;4.46
2019;Mar;1.63
2019;Mar;3.73
2019;Mar;4.16
2019;Mar;2.4
2019;Mar;7.13
2019;Mar;4.37
2019;Mar;5.43
2019;Mar;5.54
2019;Mar;6.22
2019;Mar;4.64
2019;Mar;2.65
2019;Mar;4.84
2019;Mar;5.19
2019;Mar;4.59
2019;Mar;2.55
2019;Mar;3.74
2019;Mar;4.41
2019;Mar;5.23
2019;Mar;5.37
2019;Abr;3.22
2019;Abr;5.83
2019;Abr;4.1
2019;Abr;3.28
2019;Abr;4.65
2019;Abr;3.73
2019;Abr;6.45
2019;Abr;4.64
2019;Abr;4.74
2019;Abr;5.85
2019;Abr;3.52
2019;Abr;6.19
2019;Abr;4.91
2019;Abr;1.23
2019;Abr;3.94
2019;Abr;5.41
2019;Abr;5.77
2019;Abr;6.15
2019;Abr;5.61
2019;Abr;1.98
2019;Abr;4.29
2019;Abr;5.52
2019;Abr;3.62
2019;Abr;4.89
2019;Abr;3.15
2019;Abr;1.86
2019;Abr;5.26
2019;Abr;2.11
2019;Abr;3.71
2019;Abr;4.11
2019;Mai;3.08
2019;Mai;5.79
2019;Mai;6.54
2019;Mai;5.77
2019;Mai;5.61
2019;Mai;5.39
2019;Mai;1.84
2019;Mai;3.5
2019;Mai;1.69
2019;Mai;5.64
2019;Mai;2.69
2019;Mai;5.17
2019;Mai;5.29
2019;Mai;5.48
2019;Mai;6.02
2019;Mai;5.44
2019;Mai;5.47
2019;Mai;5.75
2019;Mai;5.04
2019;Mai;2.93
2019;Mai;5.12
2019;Mai;4.23
2019;Mai;5.84
2019;Mai;4.83
2019;Mai;5.63
2019;Mai;4.69
2019;Mai;5.51
2019;Mai;5.96
2019;Mai;5.43
2019;Mai;4.5
2019;Mai;5.05
2019;Jun;5.84
2019;Jun;5.44
2019;Jun;5.76
2019;Jun;5.85
2019;Jun;5.9
2019;Jun;5.83
2019;Jun;5.81
2019;Jun;5.46
2019;Jun;5.76
2019;Jun;5.67
2019;Jun;4.07
2019;Jun;3.01
2019;Jun;4.04
2019;Jun;3.09
2019;Jun;5.68
2019;Jun;5.5
2019;Jun;4.46
2019;Jun;5.45
2019;Jun;5.94
2019;Jun;5.87
2019;Jun;6.01
2019;Jun;4.76
2019;Jun;6.05
2019;Jun;5.72
2019;Jun;5.83
2019;Jun;5.8
2019;Jun;5.59
2019;Jun;5.99
2019;Jun;5.75
2019;Jun;5.8
2019;Jul;5.19
2019;Jul;5.78
2019;Jul;4.49
2019;Jul;6.0
2019;Jul;5.66
2019;Jul;5.5
2019;Jul;5.5
2019;Jul;5.59
2019;Jul;6.02
2019;Jul;5.49
2019;Jul;5.32
2019;Jul;5.05
2019;Jul;5.4
2019;Jul;5.71
2019;Jul;5.47
2019;Jul;5.57
2019;Jul;4.98
2019;Jul;6.09
2019;Jul;6.31
2019;Jul;4.29
2019;Jul;5.78
2019;Jul;5.93
2019;Jul;5.63
2019;Jul;6.09
2019;Jul;5.92
2019;Jul;5.48
2019;Jul;5.45
2019;Jul;5.67
2019;Jul;6.25
2019;Jul;6.13
2019;Jul;5.66
2019;Ago;5.81
2019;Ago;5.75
2019;Ago;5.84
2019;Ago;5.47
2019;Ago;5.9
2019;Ago;4.85
2019;Ago;5.31
2019;Ago;6.6
2019;Ago;6.52
2019;Ago;6.61
2019;Ago;6.5
2019;Ago;6.38
2019;Ago;6.5
2019;Ago;5.56
2019;Ago;6.28
2019;Ago;6.42
2019;Ago;6.24
2019;Ago;6.4
