Data;Irradiação
jan/19;6.8
jan/19;6.74
jan/19;6.58
jan/19;6.6
jan/19;6.32
jan/19;4.9
jan/19;4.87
jan/19;3.28
jan/19;4.92
jan/19;4.24
jan/19;6.52
jan/19;4.7
jan/19;5.51
jan/19;4.96
jan/19;3.04
jan/19;6.65
jan/19;6.2
jan/19;3.33
jan/19;2.39
jan/19;6.18
jan/19;5.86
jan/19;7.18
jan/19;6.9
jan/19;5.86
jan/19;6.23
jan/19;4.24
jan/19;5.58
jan/19;6.99
jan/19;6.56
jan/19;6.95
jan/19;4.72
fev/19;2.24
fev/19;3.77
fev/19;4.78
fev/19;6.12
fev/19;6.75
fev/19;4.84
fev/19;2.2
fev/19;5.65
fev/19;6.38
fev/19;7.12
fev/19;6.96
fev/19;5.88
fev/19;4.91
fev/19;4.86
fev/19;6.0
fev/19;3.49
fev/19;5.4
fev/19;5.56
fev/19;5.68
fev/19;5.53
fev/19;2.66
fev/19;2.42
fev/19;4.46
fev/19;3.56
fev/19;5.33
fev/19;5.13
fev/19;3.89
fev/19;4.05
mar/19;5.95
mar/19;4.02
mar/19;5.02
mar/19;5.4
mar/19;4.85
mar/19;2.08
mar/19;1.48
mar/19;4.91
mar/19;3.67
mar/19;6.05
mar/19;6.39
mar/19;4.46
mar/19;1.63
mar/19;3.73
mar/19;4.16
mar/19;2.4
mar/19;7.13
mar/19;4.37
mar/19;5.43
mar/19;5.54
mar/19;6.22
mar/19;4.64
mar/19;2.65
mar/19;4.84
mar/19;5.19
mar/19;4.59
mar/19;2.55
mar/19;3.74
mar/19;4.41
mar/19;5.23
mar/19;5.37
abr/19;3.22
abr/19;5.83
abr/19;4.1
abr/19;3.28
abr/19;4.65
abr/19;3.73
abr/19;6.45
abr/19;4.64
abr/19;4.74
abr/19;5.85
abr/19;3.52
abr/19;6.19
abr/19;4.91
abr/19;1.23
abr/19;3.94
abr/19;5.41
abr/19;5.77
abr/19;6.15
abr/19;5.61
abr/19;1.98
abr/19;4.29
abr/19;5.52
abr/19;3.62
abr/19;4.89
abr/19;3.15
abr/19;1.86
abr/19;5.26
abr/19;2.11
abr/19;3.71
abr/19;4.11
mai/19;3.08
mai/19;5.79
mai/19;6.54
mai/19;5.77
mai/19;5.61
mai/19;5.39
mai/19;1.84
mai/19;3.5
mai/19;1.69
mai/19;5.64
mai/19;2.69
mai/19;5.17
mai/19;5.29
mai/19;5.48
mai/19;6.02
mai/19;5.44
mai/19;5.47
mai/19;5.75
mai/19;5.04
mai/19;2.93
mai/19;5.12
mai/19;4.23
mai/19;5.84
mai/19;4.83
mai/19;5.63
mai/19;4.69
mai/19;5.51
mai/19;5.96
mai/19;5.43
mai/19;4.5
mai/19;5.05
jun/19;5.84
jun/19;5.44
jun/19;5.76
jun/19;5.85
jun/19;5.9
jun/19;5.83
jun/19;5.81
jun/19;5.46
jun/19;5.76
jun/19;5.67
jun/19;4.07
jun/19;3.01
jun/19;4.04
jun/19;3.09
jun/19;5.68
jun/19;5.5
jun/19;4.46
jun/19;5.45
jun/19;5.94
jun/19;5.87
jun/19;6.01
jun/19;4.76
jun/19;6.05
jun/19;5.72
jun/19;5.83
jun/19;5.8
jun/19;5.59
jun/19;5.99
jun/19;5.75
jun/19;5.8
jul/19;5.19
jul/19;5.78
jul/19;4.49
jul/19;6.0
jul/19;5.66
jul/19;5.5
jul/19;5.5
jul/19;5.59
jul/19;6.02
jul/19;5.49
jul/19;5.32
jul/19;5.05
jul/19;5.4
jul/19;5.71
jul/19;5.47
jul/19;5.57
jul/19;4.98
jul/19;6.09
jul/19;6.31
jul/19;4.29
jul/19;5.78
jul/19;5.93
jul/19;5.63
jul/19;6.09
jul/19;5.92
jul/19;5.48
jul/19;5.45
jul/19;5.67
jul/19;6.25
jul/19;6.13
jul/19;5.66
ago/19;5.81
ago/19;5.75
ago/19;5.84
ago/19;5.47
ago/19;5.9
ago/19;4.85
ago/19;5.31
ago/19;6.6
ago/19;6.52
ago/19;6.61
ago/19;6.5
ago/19;6.38
ago/19;6.5
ago/19;5.56
ago/19;6.28
ago/19;6.42
ago/19;6.24
ago/19;6.4
ago/19;6.26
ago/19;6.34
ago/19;6.63
ago/19;6.46
