ANO;MÊS;DIA;IRRADI
2020;jan;1;5,8
2020;jan;2;6,03
2020;jan;3;2,78
2020;jan;4;6,97
2020;jan;5;5,56
2020;jan;6;6,03
2020;jan;7;5,92
2020;jan;8;7,71
2020;jan;9;7,65
2020;jan;10;7,37
2020;jan;11;7,45
2020;jan;12;7,83
2020;jan;13;7,72
2020;jan;14;8,06
2020;jan;15;7,99
2020;jan;16;7,4
2020;jan;17;6,47
2020;jan;18;7,42
2020;jan;19;7,2
2020;jan;20;7,63
2020;jan;21;5,36
2020;jan;22;1,91
2020;jan;23;2,89
2020;jan;24;4,05
2020;jan;25;5,78
2020;jan;26;4,37
2020;jan;27;7,14
2020;jan;28;7,19
2020;jan;29;6,94
2020;jan;30;7,16
2020;jan;31;7,18
2020;Fev;1;5,25
2020;Fev;2;7,16
2020;Fev;3;6,49
2020;Fev;4;7,34
2020;Fev;5;7,11
2020;Fev;6;6,61
2020;Fev;7;6,85
2020;Fev;8;5,57
2020;Fev;9;5,6
2020;Fev;10;5,88
2020;Fev;11;7,09
2020;Fev;12;7,45
2020;Fev;13;6,92
2020;Fev;14;5,38
2020;Fev;15;7,42
2020;Fev;16;7,25
2020;Fev;17;6,79
2020;Fev;18;5,28
2020;Fev;19;3,04
2020;Fev;20;7,09
2020;Fev;21;4,98
2020;Fev;22;6,27
2020;Fev;23;6,29
2020;Fev;24;5,61
2020;Fev;25;7,03
2020;Fev;26;7,24
2020;Fev;27;7,13
2020;Fev;28;7,02
2020;Fev;29;5,97
2020;Mar;1;7,44
2020;Mar;2;7,28
2020;Mar;3;7,05
2020;Mar;4;7,22
2020;Mar;5;6,75
2020;Mar;6;4,19
2020;Mar;7;4,49
2020;Mar;8;4,7
2020;Mar;9;5,67
2020;Mar;10;4,05
2020;Mar;11;5,24
2020;Mar;12;1,83
2020;Mar;13;6,76
2020;Mar;14;5,66
2020;Mar;15;5,68
2020;Mar;16;6,33
2020;Mar;17;6,29
2020;Mar;18;6,12
2020;Mar;19;4,31
2020;Mar;20;4,13
2020;Mar;21;4,76
2020;Mar;22;4,99
2020;Mar;23;3,5
2020;Mar;24;3,77
